Title	URL	Assignees	Status	Priority	Estimate	Size	Sprint	Actual time
Create a loading screen to initialize the `AuthenticationService`	https://github.com/echo-swent/echo/issues/105	octogradiste	Done in sprint 8	Medium		M		
Help page explaining all features		octogradiste	Sprint Backlog	High	6	M	Sprint 9	
Differentiate or merge the login and register screens.	https://github.com/echo-swent/echo/issues/101	octogradiste	Sprint Backlog	High		S	Sprint 9	
Adapt the dataclass Association	https://github.com/echo-swent/echo/issues/264	violoncelloCH	Sprint Backlog	High		M	Sprint 9	
Make the repository more robust		violoncelloCH	Sprint Backlog	High	8	M	Sprint 9	
Backend clean up		violoncelloCH	Sprint Backlog	High	5	M	Sprint 9	
Improve two pages selection composable for MyEvents screen and AssociationDetails screen	https://github.com/echo-swent/echo/issues/311	ntissieres	Sprint Backlog	High	4	M	Sprint 9	
Profile creation click inside the dropdown should open it (not only on the small arrow)		srsingh04	Sprint Backlog	High	4	S	Sprint 9	
Add image to user profile		unglazedstamp	Sprint Backlog	High	16		Sprint 9	
SCRUM Master		Greenade	Ready					
