Title	URL	Assignees	Status
Change the color of the theme	https://github.com/echo-swent/echo/issues/130	ntissieres	Done in sprint 6
fix the bug with the filter time bar	https://github.com/echo-swent/echo/issues/186	ntissieres	Done in sprint 6
SCRUM Master	https://github.com/echo-swent/echo/issues/156	octogradiste	Done in sprint 6
Update buttons in the Hamburger menu to keep only the used one + add log out button			Done in sprint 6
As a user with constraints on my schedule, I want to easily find events that respect them.	https://github.com/echo-swent/echo/issues/225		Done in sprint 6
explicitely specify fkey relations in supabase queries to prevent errors in possible future ambigous situations	https://github.com/echo-swent/echo/issues/161	violoncelloCH	Done in sprint 6
modify the search tags UI and write the logic for filtering tags	https://github.com/echo-swent/echo/issues/70	srsingh04	Done in sprint 6
add getSubTask() method to SupabaseDataSource	https://github.com/echo-swent/echo/issues/204	violoncelloCH	Done in sprint 6
finish the composable for the profile creation along with the tests	https://github.com/echo-swent/echo/issues/71	srsingh04	Done in sprint 6
Create sample data in Supabase	https://github.com/echo-swent/echo/issues/148	unglazedstamp	Done in sprint 6
Create a v1 of the logo	https://github.com/echo-swent/echo/issues/146	Greenade	Done in sprint 6
Removing persistant highlighting of items in hamburger menu	https://github.com/echo-swent/echo/issues/184	ntissieres	Done in sprint 6
Better design for the list mode	https://github.com/echo-swent/echo/issues/139	ntissieres	Done in sprint 6
Default view of the map on the EPFL	https://github.com/echo-swent/echo/issues/129	alejandrocalles	Done in sprint 6
Fix Map not showing after navigating to event list and back.	https://github.com/echo-swent/echo/issues/178	alejandrocalles	Done in sprint 6
Add "edit event" screen	https://github.com/echo-swent/echo/issues/181	unglazedstamp	Done in sprint 6
Display the location and fix tests.	https://github.com/echo-swent/echo/pull/172	alejandrocalles	Done in sprint 6
Display the location of the user on the map.	https://github.com/echo-swent/echo/issues/89	alejandrocalles	Done in sprint 6
Fix `MapDrawerAndroidTest`.	https://github.com/echo-swent/echo/issues/127	alejandrocalles	Done in sprint 6
Integrate modify event screen	https://github.com/echo-swent/echo/pull/201	octogradiste	Done in sprint 6
handle user input errors in the create event screen	https://github.com/echo-swent/echo/issues/138	unglazedstamp	Done in sprint 6
implement: add create endpoints to repository	https://github.com/echo-swent/echo/issues/102	violoncelloCH	Done in sprint 6
Repository: local DB for caching	https://github.com/echo-swent/echo/issues/50	octogradiste	Done in sprint 6
slider for time range selection on filtering ui	https://github.com/echo-swent/echo/issues/147	ntissieres	Done in sprint 6
The `EventInfoSheet` should not crash if the `organizer` is `null`.	https://github.com/echo-swent/echo/issues/98	Greenade	Done in sprint 6
graphical update of the event info sheet	https://github.com/echo-swent/echo/issues/131	Greenade	Done in sprint 6
Add a participant limit entry in the event creation screen	https://github.com/echo-swent/echo/issues/151	unglazedstamp	Done in sprint 6
Update the Architecture diagram	https://github.com/echo-swent/echo/issues/152	octogradiste	Done in sprint 6
allow for userProfiles to be associated to associations (i.e. members of comittee & association subscriptions)	https://github.com/echo-swent/echo/issues/104	violoncelloCH	Done in sprint 6
Force portrait mode for the app	https://github.com/echo-swent/echo/issues/135	unglazedstamp	Done in sprint 6
Separate the wireframe and the mockup in Figma	https://github.com/echo-swent/echo/issues/153	octogradiste, unglazedstamp	Done in sprint 6
Add `EMTPY` objects for each data class.	https://github.com/echo-swent/echo/issues/99	unglazedstamp	Done in sprint 6
Map bugfix events are not refreshed	https://github.com/echo-swent/echo/issues/149	alejandrocalles	Done in sprint 6
Delete existing markers when the list of events is updated.	https://github.com/echo-swent/echo/pull/154	alejandrocalles	Done in sprint 6
finish the homescreen viewmodel	https://github.com/echo-swent/echo/issues/142	Greenade	Done in sprint 6
update the HomeScreenViewModel to use the repository	https://github.com/echo-swent/echo/issues/177	Greenade	Done in sprint 6
refactor Event dataclass to add "scope" (EPFL, section, or class)			Product backlog
As a curious user, I want to discover new activities around a specific category.			Product backlog
as a user interested in an event, I want to be able to join it.			Product backlog
SCRUM Master		alejandrocalles	Done in sprint 4
Synchronisation mechanism in Repository between Supabase and Room	https://github.com/echo-swent/echo/issues/103	violoncelloCH	In progress
Create docs folder	https://github.com/echo-swent/echo/issues/65	Greenade	Done in sprint 4
create new icons and add them to the drawables	https://github.com/echo-swent/echo/issues/66	Greenade	Done in sprint 4
👌 IMPROVE: update Supabase DB table names and attributes to snake_cas…	https://github.com/echo-swent/echo/pull/87	violoncelloCH	Done in sprint 4
Change the bottom sheet for the strings.xml file (so that we don't write strings directly in the code), and add the place of the event to it, also remove the forced colors.	https://github.com/echo-swent/echo/issues/63	Greenade	Done in sprint 4
Update the top bar with new icons and the strings.xml file	https://github.com/echo-swent/echo/issues/62	Greenade	Done in sprint 4
Display authentication error messages	https://github.com/echo-swent/echo/issues/81	octogradiste	Done in sprint 4
As a logged in user, I want to be redirected directly to the map screen when I start the app, so I don't have to login every time.	https://github.com/echo-swent/echo/issues/83	octogradiste	Done in sprint 4
add robolectric for faster ui testing	https://github.com/echo-swent/echo/issues/21	octogradiste	Done in sprint 4
navigation drawer should sensitive to touch gesture			Product backlog
[repository] implement tags and participant relation for event and userProfile and fetch them correctly from supbase	https://github.com/echo-swent/echo/issues/68	violoncelloCH	Done in sprint 5
Feature/tag selection viewmodel	https://github.com/echo-swent/echo/pull/111	unglazedstamp	Done in sprint 5
SCRUM Master	https://github.com/echo-swent/echo/issues/155	unglazedstamp	Done in sprint 5
create dialog composable to select tag	https://github.com/echo-swent/echo/issues/61	unglazedstamp	Done in sprint 5
Update the HomeScreen with the repository / create a viewModel	https://github.com/echo-swent/echo/issues/92	Greenade	Done in sprint 5
Implementation List of Event	https://github.com/echo-swent/echo/issues/126	ntissieres	Done in sprint 5
create select tag viewmodel	https://github.com/echo-swent/echo/issues/94	unglazedstamp	Done in sprint 5
Implement a simple repository for now	https://github.com/echo-swent/echo/issues/128	octogradiste	Done in sprint 5
Move all compose tests (which work with robolectric) to the test folder	https://github.com/echo-swent/echo/pull/137	octogradiste	Done in sprint 5
As a UNIL student I want to be able to easily find the precise details (date, time, exact location on the campus etc.) of all the events taking place on the EPFL campus			Done in sprint 5
Cleanup all unecessary button in the HamburgerMenu and add a LogOut button	https://github.com/echo-swent/echo/issues/123	ntissieres	Done in sprint 5
Implementation search menu	https://github.com/echo-swent/echo/issues/132	ntissieres	Done in sprint 4
Categorisation tags	https://github.com/echo-swent/echo/issues/134	ntissieres	Done in sprint 4
Revert "Fix testRegistrationProcess"	https://github.com/echo-swent/echo/pull/119	octogradiste	Done in sprint 5
Adapt the event and tag data class to fit the backend	https://github.com/echo-swent/echo/pull/116	octogradiste	Done in sprint 5
Define the interface of the local data source	https://github.com/echo-swent/echo/pull/112	octogradiste	Done in sprint 5
Add support for callbacks on the `MapLibreMapViewProvider`.	https://github.com/echo-swent/echo/pull/78	alejandrocalles	Done in sprint 5
Clean up and/or modularize the `ModalNavigationDrawer`.	https://github.com/echo-swent/echo/issues/75	ntissieres	Done in sprint 5
Find a way to add callbacks on `MapLibre` markers.	https://github.com/echo-swent/echo/issues/57	alejandrocalles	Done in sprint 5
Adapt semester and section to be easier to parse	https://github.com/echo-swent/echo/pull/115	octogradiste	Done in sprint 5
Fix testRegistrationProcess	https://github.com/echo-swent/echo/pull/118	octogradiste	Done in sprint 5
Mockup list of events	https://github.com/echo-swent/echo/issues/114	ntissieres	Done in sprint 5
Integrate the select tag dialog to the create event screen	https://github.com/echo-swent/echo/issues/95	unglazedstamp	Done in sprint 6
Extend the local data source to support better syncing strategies	https://github.com/echo-swent/echo/pull/167	octogradiste	In review
ProfileCreationScreen and ProfileCreationUI: have `Modifier` as first parameter so that any parent can pass down style	https://github.com/echo-swent/echo/issues/206		Sprint Backlog
CreateProfile: have error types in enum	https://github.com/echo-swent/echo/issues/207		Sprint Backlog
CreateProfile: remove unneeded onDismiss argument	https://github.com/echo-swent/echo/issues/208		Sprint Backlog
CreateProfile: rename enabled1 to selected	https://github.com/echo-swent/echo/issues/209		Sprint Backlog
Remove `Osmdroid`.	https://github.com/echo-swent/echo/pull/211	alejandrocalles	Sprint Backlog
make SupabaseDataSource return null if object not found	https://github.com/echo-swent/echo/issues/217	violoncelloCH	Sprint Backlog
Mockup Association		ntissieres	Sprint Backlog
Create the logic for the associations in the app		ntissieres	Sprint Backlog
Update the local data source to support better syncing		octogradiste	Sprint Backlog
Edit the user profile		srsingh04	Sprint Backlog
support deleting events on Supabase	https://github.com/echo-swent/echo/issues/219	violoncelloCH	Sprint Backlog
Connect the list view to the bottom sheet on the map			Sprint Backlog
Implement a screen to show the associations I've joined and one for the association in which I'm a committee member.		unglazedstamp	Sprint Backlog
Connect the screens to show the associations I've joined and the association in which I'm a committee member to the app		unglazedstamp	Sprint Backlog
Make the location selection composable for event creation	https://github.com/echo-swent/echo/issues/221	alejandrocalles	Sprint Backlog
Implementation Discover mode	https://github.com/echo-swent/echo/issues/213	ntissieres	Sprint Backlog
Bug Fix : DateFilter slider	https://github.com/echo-swent/echo/issues/222	ntissieres	Sprint Backlog
List Mode adaptative display for the scope of the events	https://github.com/echo-swent/echo/issues/223	ntissieres	Sprint Backlog
Ensure user has profile	https://github.com/echo-swent/echo/pull/210	octogradiste	Done in sprint 6
Update/list mode new design	https://github.com/echo-swent/echo/pull/197	ntissieres	Done in sprint 6
SCRUM master		violoncelloCH	Ready
